"","trajectory","frame","x","y","z"
"1",1,1,60.05,44.17,1
"2",1,2,59.02,43.68,1
"3",1,3,58.82,44.84,1
"4",1,4,59.87,45.07,1
"5",1,5,60.89,44.71,1
"6",1,6,60.8,44.72,1
"7",1,7,60.11,45.32,1
"8",1,8,60.15,44.9,1
"9",1,9,60.72,44.86,1
"10",1,10,60.25,43.92,1
"11",1,11,60.68,42.72,1
"12",1,12,60.95,42.72,1
"13",1,13,60.8,42.81,1
"14",1,14,60.75,43.04,1
"15",1,15,59.98,43.23,1
"16",1,16,59.89,43.15,1
"17",1,17,60.12,43.68,1
"18",1,18,59.26,44.04,1
"19",2,1,64.59,75.97,1
"20",2,2,64.74,76.01,1
"21",2,3,66.75,74.71,1
"22",3,1,74.82,73.83,1
"23",3,2,75.08,74.63,1
"24",4,1,82.87,60.7,1
"25",4,2,82.8,60.81,1
"26",4,3,82.85,60.8,1
"27",4,4,82.84,61.09,1
"28",4,5,82.81,61.16,1
"29",4,6,82.88,61.04,1
"30",4,7,82.81,61.1,1
"31",4,8,82.69,61.11,1
"32",4,9,82.88,60.94,1
"33",4,10,83.19,60.89,1
"34",4,11,82.86,60.88,1
"35",4,12,83.05,60.97,1
"36",4,13,82.78,61.06,1
"37",5,2,73.07,70.4,1
"38",5,3,73.29,72.01,1
"39",5,4,74.28,70.93,1
"40",6,6,33.29,90.24,1
"41",6,7,32.62,90.89,1
"42",6,8,33.73,90.92,1
"43",6,9,33.05,90.81,1
"44",6,10,33.11,91.69,1
"45",7,6,74.77,73.8,1
"46",7,7,74.89,73.58,1
"47",7,8,74.15,72.77,1
"48",7,9,74.68,73,1
"49",7,10,74.34,74.19,1
"50",7,11,75.06,73.93,1
"51",7,12,75.63,74.89,1
"52",7,13,74.96,74.17,1
"53",7,14,74.93,73.77,1
"54",8,13,88.69,48.24,1
"55",8,14,88.77,47.99,1
"56",9,15,82.97,60.84,1
"57",9,16,82.96,60.8,1
"58",9,17,82.79,61.21,1
"59",9,18,82.98,61.09,1
